,Brand,Model,Seating_Capacity,Body_Type,Variant_Number,Fuel_Type,Transmission,Available_Colors,On_Road_Pric,Delivery_Days,Location
55,Toyota,Fortuner,7,SUV,1,Petrol,Automatic,7,41.61,28,Gurgaon
56,Volkswagen,Taigun,5,SUV,1,Petrol,Manual,6,13.55,21,Gurgaon
57,MG,ZS EV,5,SUV,1,Electric,Automatic,3,19.61,11,Gurgaon
58,Mahindra,XUV400,5,SUV,1,Electric,Automatic,10,18.70,30,Gurgaon
59,Volkswagen,Virtus,5,Sedan,1,Petrol,Manual,7,13.36,21,Gurgaon
60,Maruti Suzuki,S-Presso,4,SUV,1,Petrol,Manual,7,5.74,11,Gurgaon
61,Hyundai,Tucson,5,SUV,1,Petrol,Automatic,5,33.97,00,Gurgaon
62,MG,Hector Plus,7,SUV,1,Petrol,Manual,4,21.56,11,Gurgaon
63,MG,Comet EV,4,Hatchback,1,Electric,Automatic,5,10.16,11,Gurgaon
64,Maruti Suzuki,Jimny,4,SUV,1,Petrol,Manual,5,14.37,28,Gurgaon
65,MG,Gloster,7,SUV,1,Diesel,Automatic,4,47.07,14,Gurgaon
66,Mahindra,Bolero,7,SUV,1,Diesel,Manual,2,11.54,60,Gurgaon
67,Hyundai,Creta N Line,5,SUV,1,Petrol,Manual,6,19.42,90,Gurgaon
68,Toyota,Urban Cruiser Taisor,5,SUV,1,Petrol,Manual,4,8.88,11,Gurgaon
69,Mahindra,Thar,4,SUV,1,Diesel,Manual,3,13.88,56,Gurgaon
70,Mahindra,XEV 9e,5,SUV,1,Electric,Automatic,7,25.02,84,Gurgaon
71,Skoda,Kylaq,5,SUV,1,Petrol,Manual,3,9.56,11,Gurgaon
72,Tata,Tigor,5,Sedan,1,Petrol,Manual,2,6.74,11,Gurgaon
73,MG,Windsor EV,5,SUV,1,Electric,Automatic,,15.38,30,Gurgaon
74,Tata,Tiago NRG,5,Hatchback,1,Petrol,Manual,4,8.38,90,Gurgaon
75,Hyundai,Creta Electric,5,SUV,1,Electric,Automatic,5,19.60,11,Gurgaon
76,Mahindra,Thar Roxx,5,SUV,1,Petrol,Automatic,3,18.58,10,Gurgaon
77,Maruti Suzuki,Dzire,5,Sedan,1,Petrol,Manual,6,7.74,11,Gurgaon
78,Nissan,Magnite,5,SUV,1,Petrol,Manual,2,7.13,11,Gurgaon
79,Tata,Tiago,5,Hatchback,1,Petrol,Manual,2,5.65,11,Gurgaon
80,Hyundai,Alcazar,7,SUV,1,Diesel,Manual,8,19.72,11,Gurgaon
81,Tata,Tiago EV,5,Hatchback,1,Electric,Automatic,,8.61,28,Gurgaon
82,Mahindra,BE 6,5,SUV,1,Electric,Automatic,8,21.76,84,Gurgaon
83,Honda,Amaze,5,Sedan,1,Petrol,Manual,6,9.28,11,Gurgaon
84,Volkswagen,Tiguan R-Line,5,SUV,,Petrol,Automatic,6,56.77,20,Gurgaon
85,Skoda,Kodiaq,7,SUV,1,Petrol,Automatic,9,54.55,11,Gurgaon
86,Tata,Altroz,5,Hatchback,1,Petrol,Manual,5,7.89,11,Gurgaon
87,Citroen,Aircross,5,SUV,1,Petrol,Manual,2,9.83,90,Gurgaon
88,Citroen,Basalt,5,SUV,1,Petrol,Manual,2,9.53,90,Gurgaon
89,Kia,Carens Clavis,6,SUV,1,Petrol,Manual,7,13.05,11,Gurgaon
90,Citroen,C3,5,SUV,1,Petrol,Manual,4,7.21,90,Gurgaon
91,Toyota,Innova Hycross,8,,1,Petrol,Automatic,7,23.53,,Gurgaon
92,Bentley,Bentayga,5,SUV,1,Petrol,Automatic,4,,,Gurgaon
93,Mercedes-Benz,AMG EQS,5,Sedan,,Electric,Automatic,5,,,Gurgaon
94,Mercedes-Benz,EQE SUV,5,SUV,,Electric,Automatic,9,,,Gurgaon
95,Mercedes-Benz,EQS,5,Sedan,1,Electric,Automatic,5,,,Gurgaon
96,Mercedes-Benz,G-Class,5,SUV,1,Diesel,Automatic,7,,,Gurgaon
97,Mercedes-Benz,GLA,5,SUV,1,Diesel,Automatic,5,64.10,,Gurgaon
98,Jeep,Compass,5,SUV,1,Diesel,Manual,7,31.72,,Gurgaon
99,Citroen,E-C3,5,SUV,1,Electric,Automatic,4,14.02,,Gurgaon
100,Mercedes-Benz,GLB,7,SUV,1,Diesel,Automatic,5,83.90,,Gurgaon
101,Jeep,Meridian,7,,1,Diesel,Automatic,6,39.86,,Gurgaon
102,Citroen,C5 Aircross,5,SUV,1,Diesel,Automatic,7,43.50,,Gurgaon
103,Mercedes-Benz,Maybach GLS,5,SUV,1,Petrol,Automatic,6,,,Gurgaon
104,Mercedes-Benz,Maybach S-Class,5,Sedan,,Petrol,Automatic,8,,,Gurgaon
105,Mercedes-Benz,S-Class,5,Sedan,1,Petrol,Automatic,4,,,Gurgaon
106,BMW,2 Series Gran Coupe,5,Coupe,1,Petrol,Automatic,,51.28,,Gurgaon
107,BMW,3 Series Gran Limousine,5,Coupe,1,Petrol,Automatic,4,67.44,,Gurgaon
108,Lamborghini,Huracan,2,Coupe,1,Petrol,Automatic,14,,,Gurgaon
109,Mahindra,Bolero Neo Plus,9,SUV,1,Diesel,Manual,3,13.37,,Gurgaon
110,BMW,i7,5,Sedan,1,Electric,Automatic,8,,,Gurgaon
111,BMW,iX,5,SUV,1,Electric,Automatic,7,,,Gurgaon
112,BMW,iX1,5,SUV,,Electric,Automatic,4,72.06,,Gurgaon
113,BMW,M2,4,Coupe,,Petrol,Automatic,5,,,Gurgaon
114,BMW,M340i,5,Sedan,,Petrol,Automatic,4,85.92,,Gurgaon
115,BMW,M8,4,Coupe,,Petrol,Automatic,9,,,Gurgaon
116,BMW,X3 M40i,5,SUV,,Petrol,Automatic,2,95.48,,Gurgaon
117,BMW,X4 M40i,5,SUV,,Petrol,Automatic,2,,,Gurgaon
118,BMW,X5,5,,1,Petrol,Automatic,3,,,Gurgaon
119,Aston Martin,DBX,5,SUV,,Petrol,Automatic,8,,,Gurgaon
120,Aston Martin,Vantage,2,Coupe,,Petrol,Automatic,6,,,Gurgaon
121,BMW,i5,5,Sedan,,Electric,Automatic,9,,,Gurgaon
122,BMW,5 Series,5,Sedan,1,Petrol,Automatic,2,79.26,,Gurgaon
123,BYD,Atto 3,5,SUV,1,Electric,Automatic,4,25.86,,Gurgaon
124,BYD,Seal,5,Sedan,1,Electric,Automatic,4,47.26,,Gurgaon
125,Audi,A8 L,4,Sedan,1,Petrol,Automatic,8,,,Gurgaon
126,Jeep,Wrangler,5,SUV,1,Petrol,Automatic,5,75.21,,Gurgaon
127,Ferrari,296 GTB,2,Coupe,,Petrol,Automatic,8,,,Gurgaon
128,Ferrari,296 GTS,2,Convertible,,Petrol,Automatic,8,,,Gurgaon
129,Ferrari,F8 Tributo,2,Coupe,,Petrol,Automatic,15,,,Gurgaon
130,Ferrari,Portofino,4,,,Petrol,Automatic,14,,,Gurgaon
131,Audi,e-tron Sportback,5,SUV,1,Electric,Automatic,9,,,Gurgaon
132,BMW,Z4,2,Convertible,1,Petrol,Automatic,7,,,Gurgaon
133,Audi,Q3,5,SUV,1,Petrol,Automatic,5,63.92,,Gurgaon
134,Audi,Q3 Sportback,5,SUV,1,Petrol,Automatic,4,65.41,,Gurgaon
135,Audi,Q5,5,SUV,1,Petrol,Automatic,4,84.65,,Gurgaon
136,Mercedes-Benz,AMG GLC43 Coupe,5,Coupe,,Petrol,Automatic,5,,,Gurgaon
137,Land Rover,Defender,5,SUV,1,Petrol,Automatic,6,,,Gurgaon
138,Audi,A6,5,Sedan,1,Petrol,Automatic,5,70.92,,Gurgaon
139,Audi,e-tron,5,SUV,1,Electric,Automatic,8,,,Gurgaon
140,Audi,A4,5,Sedan,1,Petrol,Automatic,5,54.04,,Gurgaon
141,Land Rover,Range Rover,7,,1,Petrol,Automatic,8,,,Gurgaon
142,BMW,7 Series,5,Sedan,1,Petrol,Automatic,6,,,Gurgaon
143,Land Rover,Range Rover Sport,5,SUV,1,Diesel,Automatic,8,,,Gurgaon
144,Land Rover,Range Rover Velar,5,SUV,1,Petrol,Automatic,5,95.70,,Gurgaon
145,Lotus,Eletre,4,SUV,1,Electric,Automatic,5,,,Gurgaon
146,BMW,X1,5,,1,Diesel,Automatic,5,61.82,,Gurgaon
147,Mercedes-Benz,E-Class,5,Sedan,1,Petrol,Automatic,4,82.66,,Gurgaon
148,Mercedes-Benz,A-Class Limousine,5,Sedan,1,Diesel,Automatic,5,54.27,,Gurgaon
149,McLaren,750S,2,Coupe,1,Petrol,Automatic,8,,,Gurgaon
150,Mercedes-Benz,AMG A45 S,5,Hatchback,,Petrol,Automatic,7,,,Gurgaon
151,Mercedes-Benz,AMG C 43,5,Sedan,,Petrol,Automatic,7,,,Gurgaon
152,Mercedes-Benz,EQB,7,SUV,1,Electric,Automatic,6,84.92,,Gurgaon
153,Mercedes-Benz,GLC,5,SUV,1,Diesel,Automatic,6,89.23,,Gurgaon
154,Mercedes-Benz,GLS,7,SUV,1,Diesel,Automatic,5,,,Gurgaon
155,Porsche,911,4,,1,Petrol,Automatic,2,,,Gurgaon
156,Porsche,Cayenne,4,SUV,,Petrol,Automatic,7,,,Gurgaon
157,Porsche,Cayenne Coupe,4,Coupe,,Petrol,Automatic,7,,,Gurgaon
158,Porsche,Macan,5,SUV,1,Petrol,Automatic,9,,,Gurgaon
159,Porsche,Taycan,5,Sedan,1,Electric,Automatic,12,,,Gurgaon
160,Porsche,Taycan Cross Turismo,5,Sedan,1,Electric,Automatic,12,,,Gurgaon
161,Rolls-Royce,Cullinan,5,SUV,,Petrol,Automatic,10,,,Gurgaon
162,Rolls-Royce,Phantom,5,SUV,,Petrol,Automatic,9,,,Gurgaon
163,Rolls-Royce,Spectre,4,SUV,,Electric,Automatic,15,,,Gurgaon
164,Volvo,C40 Recharge,5,SUV,,Electric,Automatic,8,65.12,,Gurgaon
165,Mercedes-Benz,AMG GLA35,5,SUV,,Petrol,Automatic,6,74.77,,Gurgaon
166,Maserati,GranTurismo,5,,1,Petrol,Automatic,6,,,Gurgaon
167,Land Rover,Discovery,7,SUV,1,Petrol,Automatic,8,,,Gurgaon
168,Mercedes-Benz,G-Class Electric,5,SUV,,Electric,Automatic,5,,,Gurgaon
169,Toyota,Hilux,5,Up,1,Diesel,Automatic,,44.66,,Gurgaon
170,Aston Martin,DB12,4,Coupe,,Petrol,Automatic,18,,,Gurgaon
171,Mercedes-Benz,Maybach SL 680,2,Convertible,,Petrol,Automatic,2,,,Gurgaon
172,BMW,3 Series LWB,5,Sedan,,Petrol,Automatic,4,73.35,,Gurgaon
173,Lexus,LX,5,,1,Diesel,Automatic,3,,,Gurgaon
174,Porsche,718,2,Coupe,1,Petrol,Automatic,9,,,Gurgaon
175,Porsche,Macan Turbo EV,5,SUV,,Electric,Automatic,10,,,Gurgaon
176,Porsche,Panamera,4,Coupe,,Petrol,Automatic,10,,,Gurgaon
177,Toyota,Land Cruiser,5,SUV,1,Diesel,Automatic,5,,,Gurgaon
178,Volvo,XC40 Recharge,5,SUV,1,Electric,Automatic,8,59.94,,Gurgaon
179,Audi,Q7,7,SUV,1,Petrol,Automatic,5,,,Gurgaon
180,Jeep,Grand Cherokee,5,SUV,1,Petrol,Automatic,4,79.23,,Gurgaon
181,Mercedes-Benz,AMG G-Class,5,SUV,,Petrol,Automatic,8,,,Gurgaon
182,Audi,Q8,5,SUV,,Petrol,Automatic,8,,,Gurgaon
183,MINI,Countryman Electric,5,Hatchback,,Electric,Automatic,9,56.68,,Gurgaon
184,Mercedes-Benz,EQA,5,SUV,,Electric,Automatic,6,72.38,,Gurgaon
185,Mercedes-Benz,AMG E53 Cabriolet,4,Convertible,,Petrol,Automatic,5,,,Gurgaon
186,Mercedes-Benz,AMG S 63 E Performance,5,Sedan,1,Petrol,Automatic,8,,,Gurgaon
187,Mercedes-Benz,AMG GLE Coupe,5,Coupe,,Petrol,Automatic,6,,,Gurgaon
188,Mercedes-Benz,GLE,5,SUV,,Diesel,Automatic,5,,,Gurgaon
189,Force Motors,Gurkha,4,SUV,,Diesel,Manual,4,18.63,,Gurgaon
190,Force Motors,Gurkha 5 Door,7,SUV,,Diesel,Manual,4,19.99,,Gurgaon
191,Isuzu,V-Cross,5,SUV,1,Diesel,Manual,6,23.89,,Gurgaon
192,Ferrari,Purosangue SUV,4,SUV,,Petrol,Automatic,8,,,Gurgaon
193,Kia,EV9,6,SUV,,Electric,Automatic,5,,,Gurgaon
194,MINI,Cooper,4,Hatchback,,Petrol,Automatic,10,49.04,,Gurgaon
195,Skoda,Superb,5,Sedan,,Petrol,Automatic,3,62.81,,Gurgaon
196,Kia,Carnival,7,SUV,,Diesel,Automatic,2,75.26,,Gurgaon
197,Jaguar,I-Pace,5,,,Electric,Automatic,6,,,Gurgaon
198,BMW,M4,4,Sedan,1,Petrol,Automatic,10,,,Gurgaon
199,BYD,eMax 7,7,,1,Electric,Automatic,4,31.58,,Gurgaon
200,Aston Martin,Vanquish,2,Coupe,,Petrol,Automatic,9,,,Gurgaon
201,Kia,EV6,5,SUV,,Electric,Automatic,5,75.60,,Gurgaon
202,Audi,RS5,5,Coupe,,Petrol,Automatic,6,,,Gurgaon
203,Audi,e-tron GT,5,Sedan,1,Electric,Automatic,9,,,Gurgaon
204,Audi,Q8 Sportback e-tron,5,Sedan,1,Electric,Automatic,9,,,Gurgaon
205,Audi,S5 Sportback,5,Coupe,,Petrol,Automatic,7,89.20,,Gurgaon
206,Mercedes-Benz,EQS SUV,7,,1,Electric,Automatic,10,,,Gurgaon
207,Mercedes-Benz,Maybach EQS,5,SUV,1,Electric,Automatic,13,,,Gurgaon
208,BMW,X3,5,SUV,1,Diesel,Automatic,4,89.23,,Gurgaon
209,BYD,Sealion 7,5,SUV,1,Electric,Automatic,4,57.47,,Gurgaon
210,Audi,RS Q8 Performance,5,Hatchback,,Petrol,Automatic,8,,,Gurgaon
211,BMW,iX1 LWB,5,SUV,,Electric,Automatic,5,52.86,,Gurgaon
212,BMW,i4,5,Sedan,1,Electric,Automatic,3,83.42,,Gurgaon
213,Ferrari,Roma,4,Coupe,,Petrol,Automatic,15,,,Gurgaon
214,Isuzu,MU-X,7,SUV,1,Diesel,Automatic,6,42.49,,Gurgaon
215,Jaguar,F-Pace,5,SUV,1,Petrol,Automatic,4,79.26,,Gurgaon
216,McLaren,GT,2,Coupe,,Petrol,Automatic,5,,,Gurgaon
217,Mercedes-Benz,AMG GT 63 S E Performance,5,Sedan,,Petrol,Automatic,5,,,Gurgaon
218,Mercedes-Benz,AMG SL55 Roadster,4,Convertible,,Petrol,Automatic,3,,,Gurgaon
219,Mercedes-Benz,C-Class,5,Sedan,1,Diesel,Automatic,6,68.22,,Gurgaon
220,Volvo,EX40,5,SUV,,Electric,Automatic,6,65.88,,Gurgaon
221,Maserati,Grecale,5,SUV,1,Petrol,Automatic,4,,,Gurgaon
222,BMW,M5,5,Sedan,,Petrol,Automatic,10,,,Gurgaon
223,Volvo,XC90,7,SUV,,Petrol,Automatic,6,,,Gurgaon
224,Volkswagen,Golf GTI,5,Hatchback,,Petrol,Automatic,4,60.90,,Gurgaon
225,Land Rover,Range Rover Evoque,5,SUV,1,Diesel,Automatic,3,79.75,,Gurgaon
226,Mahindra,XUV300,5,,1,Petrol,Automatic,9,15.46,,Gurgaon
227,Maruti Suzuki,Alto (2019-2023),5,Hatchback,1,CNG,Manual,6,5.94,,Gurgaon
228,Maruti Suzuki,Ciaz,5,Sedan,1,Petrol,Automatic,7,13.10,,Gurgaon
229,Tata,Nexon EV Prime (2020-2023),5,SUV,1,Electric,Automatic,,19.89,,Gurgaon
230,Tata,Harrier (2020-2023),5,SUV,1,Diesel,Automatic,,23.97,,Gurgaon
231,Toyota,Innova Crysta (2020-2023),8,,1,Diesel,Manual,7,27.37,,Gurgaon
232,Nissan,Magnite (2020-2024),5,SUV,1,Petrol,Automatic,5,10.12,,Gurgaon
233,Tata,Nexon (2020-2023),5,SUV,1,Petrol,Manual,,14.10,,Gurgaon
234,Maruti Suzuki,Swift (2021-2024),5,Hatchback,1,Petrol,Automatic,7,9.61,,Gurgaon
235,Kia,Seltos (2022-2023),5,SUV,1,Petrol,Manual,11,16.04,,Gurgaon
236,Tata,Tiago EV (2022-2025),5,Hatchback,1,Electric,Automatic,5,12.42,,Gurgaon
237,Skoda,Kushaq (2021-2023),5,SUV,1,Petrol,Automatic,5,20.01,,Gurgaon
238,Hyundai,Aura (2020-2023),5,Sedan,1,Diesel,Manual,6,10.66,,Gurgaon
239,Tata,Tiago (2020-2025),5,Hatchback,1,Petrol,Manual,3,5.73,,Gurgaon
240,Tata,Nexon,5,SUV,1,Petrol,Manual,4,10.63,11,Hyderabad
241,Tata,Punch,5,SUV,1,Petrol,Manual,2,7.52,11,Hyderabad
242,Hyundai,Grand i10 Nios,5,Hatchback,1,Petrol,Manual,7,8.60,11,Hyderabad
243,Tata,Curvv EV,5,SUV,1,Electric,Automatic,4,21.23,11,Hyderabad
244,Hyundai,Aura,5,Sedan,1,Petrol,Manual,6,8.95,11,Hyderabad
245,Tata,Altroz (2020-2025),5,Hatchback,1,CNG,Manual,4,10.36,11,Hyderabad
246,Hyundai,Venue,5,SUV,1,Petrol,Manual,5,10.05,11,Hyderabad
247,Hyundai,Creta,5,SUV,1,Petrol,Manual,11,13.79,11,Hyderabad
248,Hyundai,i20 N Line,5,Hatchback,1,Petrol,Manual,8,13.97,11,Hyderabad
249,Maruti Suzuki,Brezza,5,SUV,1,CNG,Manual,7,13.38,11,Hyderabad
250,Honda,City,5,Sedan,1,Petrol,Manual,6,16.27,11,Hyderabad
251,Maruti Suzuki,XL6,6,SUV,1,Petrol,Manual,6,16.04,11,Hyderabad
252,Maruti Suzuki,Ertiga,7,SUV,1,Petrol,Manual,6,10.90,20,Hyderabad
253,Tata,Nexon EV,5,SUV,1,Electric,Automatic,4,14.98,11,Hyderabad
254,Maruti Suzuki,Grand Vitara,5,SUV,1,Petrol,Manual,,14.24,11,Hyderabad
255,Hyundai,Venue N-Line,5,SUV,1,Petrol,Automatic,5,17.02,11,Hyderabad
256,Mahindra,Bolero,7,SUV,1,Diesel,Manual,2,11.92,28,Hyderabad
257,Mahindra,Scorpio-N,7,SUV,1,Diesel,Automatic,5,22.40,8,Hyderabad
258,Mahindra,XUV700,7,SUV,1,Petrol,Automatic,11,26.71,8,Hyderabad
259,Toyota,Urban Cruiser Hyryder,5,SUV,1,Petrol,Manual,7,13.95,11,Hyderabad
260,Toyota,Glanza,5,Hatchback,1,Petrol,Manual,5,8.36,11,Hyderabad
261,Hyundai,Tucson,5,SUV,1,Petrol,Automatic,5,36.38,00,Hyderabad
262,MG,ZS EV,5,SUV,1,Electric,Automatic,3,19.29,8,Hyderabad
263,MG,Hector Plus,7,SUV,1,Diesel,Manual,2,21.55,8,Hyderabad
264,MG,Hector,5,SUV,1,Petrol,Manual,3,20.83,8,Hyderabad
265,MG,Gloster,7,SUV,1,Diesel,Automatic,4,50.43,21,Hyderabad
266,MG,Comet EV,4,Hatchback,1,Electric,Automatic,5,10.50,8,Hyderabad
267,MG,Astor,5,SUV,1,Petrol,Automatic,4,18.27,8,Hyderabad
268,Kia,Sonet,5,SUV,1,Petrol,Manual,7,10.05,11,Hyderabad
269,Kia,Seltos,5,SUV,1,Petrol,Manual,7,13.74,11,Hyderabad
270,Kia,Carens,7,SUV,1,Petrol,Manual,7,13.98,11,Hyderabad
271,Toyota,Rumion,7,SUV,1,Petrol,Manual,5,14.44,11,Hyderabad
272,Skoda,Slavia,5,Sedan,1,Petrol,Manual,4,16.72,11,Hyderabad
273,Skoda,Kushaq,5,SUV,1,Petrol,Manual,4,13.56,11,Hyderabad
274,Honda,Elevate,5,SUV,1,Petrol,Manual,7,15.26,11,Hyderabad
275,Hyundai,Exter,5,SUV,1,Petrol,Manual,,7.55,11,Hyderabad
276,Maruti Suzuki,Fronx,5,SUV,1,Petrol,Manual,6,10.79,11,Hyderabad
277,Maruti Suzuki,Invicto,7,SUV,1,Petrol,Automatic,4,31.84,90,Hyderabad
278,Toyota,Innova Crysta,8,SUV,1,Diesel,Manual,5,24.91,80,Hyderabad
279,Toyota,Innova Hycross,7,SUV,1,Petrol,Automatic,7,24.95,40,Hyderabad
280,Hyundai,Verna,5,Sedan,1,Petrol,Manual,7,16.28,11,Hyderabad
281,Tata,Harrier,5,SUV,1,Diesel,Automatic,,28.21,11,Hyderabad
282,Mahindra,Scorpio Classic,7,SUV,1,Diesel,Manual,3,17.36,56,Hyderabad
283,Mahindra,XUV400,5,SUV,1,Electric,Automatic,10,18.93,11,Hyderabad
284,Maruti Suzuki,Eeco,7,Van,1,Petrol,Manual,5,7.44,11,Hyderabad
285,Maruti Suzuki,Baleno,5,Hatchback,1,Petrol,Manual,6,8.19,11,Hyderabad
286,Maruti Suzuki,Ignis,5,Hatchback,1,Petrol,Manual,6,7.25,11,Hyderabad
287,Maruti Suzuki,Celerio,5,Hatchback,1,Petrol,Manual,6,7.34,11,Hyderabad
288,Tata,Punch EV,5,SUV,1,Electric,Automatic,4,13.04,11,Hyderabad
289,Hyundai,i20,5,Hatchback,1,Petrol,Manual,6,9.44,11,Hyderabad
290,Mahindra,XUV 3XO,5,SUV,1,Petrol,Automatic,7,14.61,8,Hyderabad
291,Maruti Suzuki,Alto K10,4,Hatchback,1,Petrol,Manual,6,5.20,28,Hyderabad
292,Toyota,Fortuner Legender,7,SUV,1,Diesel,Automatic,,54.57,80,Hyderabad
293,Tata,Curvv,5,SUV,1,Petrol,Manual,4,13.90,11,Hyderabad
294,Maruti Suzuki,S-Presso,4,SUV,1,Petrol,Manual,6,6.08,28,Hyderabad
295,Hyundai,IONIQ 5,5,SUV,,Electric,Automatic,,49.07,60,Hyderabad
296,Maruti Suzuki,Swift,5,Hatchback,1,Petrol,Manual,4,7.96,11,Hyderabad
297,Maruti Suzuki,Jimny,4,SUV,1,Petrol,Manual,5,15.84,00,Hyderabad
298,Toyota,Fortuner,7,SUV,1,Petrol,Automatic,7,43.90,80,Hyderabad
299,Maruti Suzuki,Wagon R,5,Hatchback,1,Petrol,Manual,3,7.05,11,Hyderabad
300,Hyundai,Creta N Line,5,SUV,1,Petrol,Automatic,6,25.49,11,Hyderabad
301,Toyota,Urban Cruiser Taisor,5,SUV,1,Petrol,Manual,4,9.29,11,Hyderabad
302,Tata,Safari,6,SUV,1,Diesel,Manual,2,19.18,28,Hyderabad
303,Mahindra,Thar,4,SUV,1,Petrol,Automatic,5,20.90,8,Hyderabad
304,Mahindra,Bolero Neo,7,SUV,1,Diesel,Manual,5,12.08,56,Hyderabad
